ID,PLIP_score
796_docked_complex,0.4000
7AY_docked_complex,0.4000
7CU_docked_complex,0.4000
7HK_docked_complex,0.4000
7L4_docked_complex,0.4000
7ME_docked_complex,0.4000
7MF_docked_complex,0.4000
7OB_docked_complex,0.4000
7P4_docked_complex,0.4000
7RI_docked_complex,0.4000
7RV_docked_complex,0.4000
7SB_docked_complex,0.4000
7UB_docked_complex,0.4000
7VM_docked_complex,0.4000
7YX_docked_complex,0.4000
81H_docked_complex,0.4000
81I_docked_complex,0.4000
829_docked_complex,0.4000
83D_docked_complex,0.4000
83G_docked_complex,0.4000
85P_docked_complex,0.4000
87S_docked_complex,0.4000
888_docked_complex,0.4000
88V_docked_complex,0.4000
8B5_docked_complex,0.4000
8EP_docked_complex,0.4000
8G3_docked_complex,0.4000
8IR_docked_complex,0.4000
8IU_docked_complex,0.4000
8JM_docked_complex,0.4000
8KF_docked_complex,0.4000
8NH_docked_complex,0.4000
8NM_docked_complex,0.4000
8O7_docked_complex,0.4000
8OC_docked_complex,0.4000
8UN_docked_complex,0.4000
8US_docked_complex,0.4000
8W0_docked_complex,0.4000
8WP_docked_complex,0.4000
927_docked_complex,0.4000
98L_docked_complex,0.4000
9CV_docked_complex,0.4000
9DB_docked_complex,0.4000
9ET_docked_complex,0.4000
9FT_docked_complex,0.4000
9G4_docked_complex,0.4000
9G9_docked_complex,0.4000
9JS_docked_complex,0.4000
9LN_docked_complex,0.4000
9M1_docked_complex,0.4000
9NW_docked_complex,0.4000
9OZ_docked_complex,0.4000
9QI_docked_complex,0.4000
9S5_docked_complex,0.4000
9U5_docked_complex,0.4000
9UO_docked_complex,0.4000
9XZ_docked_complex,0.4000
A0F_docked_complex,0.4000
A1A0M_docked_complex,0.4000
A1A1Z_docked_complex,0.4000
A1A5G_docked_complex,0.4000
A1AAC_docked_complex,0.4000
A1ABA_docked_complex,0.4000
A1ACS_docked_complex,0.4000
A1AE9_docked_complex,0.4000
A1AEI_docked_complex,0.4000
A1AET_docked_complex,0.4000
A1AEV_docked_complex,0.4000
A1AJ0_docked_complex,0.4000
A1AL3_docked_complex,0.4000
A1AOW_docked_complex,0.4000
A1AS6_docked_complex,0.4000
A1ASY_docked_complex,0.4000
A1AUF_docked_complex,0.4000
A1AYV_docked_complex,0.4000
A1BGP_docked_complex,0.4000
A1BJD_docked_complex,0.4000
A1BM8_docked_complex,0.4000
A1D47_docked_complex,0.4000
A1D7V_docked_complex,0.4000
A1D8E_docked_complex,0.4000
A1D8O_docked_complex,0.4000
A1D8Y_docked_complex,0.4000
A1EAA_docked_complex,0.4000
A1EAS_docked_complex,0.4000
A1EGQ_docked_complex,0.4000
A1H15_docked_complex,0.4000
A1H2C_docked_complex,0.4000
A1H2J_docked_complex,0.4000
A1H3T_docked_complex,0.4000
A1H41_docked_complex,0.4000
A1H8X_docked_complex,0.4000
A1IED_docked_complex,0.4000
A1IF7_docked_complex,0.4000
A1IJL_docked_complex,0.4000
A1IK1_docked_complex,0.4000
A1IK9_docked_complex,0.4000
A1IRE_docked_complex,0.4000
A1IWO_docked_complex,0.4000
A1L10_docked_complex,0.4000
A1L2K_docked_complex,0.4000
A1L3K_docked_complex,0.4000
A1LVI_docked_complex,0.4000
A1LWJ_docked_complex,0.4000
A1LWK_docked_complex,0.4000
A1LXO_docked_complex,0.4000
A1LYQ_docked_complex,0.4000
A1LZA_docked_complex,0.4000
A1LZN_docked_complex,0.4000
A1O_docked_complex,0.4000
A4R_docked_complex,0.4000
A5G_docked_complex,0.4000
A5Y_docked_complex,0.4000
A6K_docked_complex,0.4000
AA7_docked_complex,0.4000
ABZ_docked_complex,0.4000
AJT_docked_complex,0.4000
AK6_docked_complex,0.4000
ALH_docked_complex,0.4000
ANT_docked_complex,0.4000
APJ_docked_complex,0.4000
AQV_docked_complex,0.4000
AUS_docked_complex,0.4000
AWW_docked_complex,0.4000
AXA_docked_complex,0.4000
AXZ_docked_complex,0.4000
B11_docked_complex,0.4000
B18_docked_complex,0.4000
B35_docked_complex,0.4000
B5S_docked_complex,0.4000
B69_docked_complex,0.4000
B7K_docked_complex,0.4000
B98_docked_complex,0.4000
BBJ_docked_complex,0.4000
BD0_docked_complex,0.4000
BDQ_docked_complex,0.4000
BDY_docked_complex,0.4000
BER_docked_complex,0.4000
BFS_docked_complex,0.4000
BGF_docked_complex,0.4000
BKO_docked_complex,0.4000
BL6_docked_complex,0.4000
BPR_docked_complex,0.4000
BQ6_docked_complex,0.4000
BR2_docked_complex,0.4000
BSI_docked_complex,0.4000
BUX_docked_complex,0.4000
BZH_docked_complex,0.4000
C1D_docked_complex,0.4000
C1F_docked_complex,0.4000
C48_docked_complex,0.4000
C4A_docked_complex,0.4000
C64_docked_complex,0.4000
C6K_docked_complex,0.4000
C9J_docked_complex,0.4000
CB8_docked_complex,0.4000
