ID,SMILES,affinity,COM,RMSD,mcs_size,PLIP_sim_1MVN,PLIP_sim_1QZU_pred,Cluster
3QQ,CC(C)CN(Cc1ccc(cc1)F)S(=O)(=O)c2ccc(nc2)NC3CCN(CC3)S(=O)(=O)C,-7.07,4.85650298622039,1.03174486990258,12,0,0.6,no
LUE,Cc1nc(c2n1ccc(c2)Nc3nccc(n3)c4cc(n(n4)C)CN(C)C)c5nnc(o5)C,-8,26.8840733741153,2.87379175842424,6,0,0,2157
2JL,c1ccc2c(c1)ccc3c2ccc(c3)C(=O)N4CCN[C@H]([C@H]4C(=O)O)C(=O)O,-7.97,22.0892358829631,7.0462351524148,3,0,0,no
MQ1,COc1ccc(cc1)Oc2cccc3c2c(nc(n3)N)N,-7.02,2.67257348557685,0.186768773931901,4,0.2,0,no
A1A8P,c1cc(cc(c1)Cn2c[n+](c3c2N=C(NC3=O)N)Cc4cc5cc(ccc5o4)Cl)CCP(=O)(O)O,-8.47,32.6687131476413,1.90453072868212,6,0,0,no
CVN,c1cc(c2c(c1)ONC2=O)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,-8.03,27.786181770606,7.05300716801828,2,0,0,2657
3B9,CC(C)(CNC(=O)c1ccc(cc1)Oc2ccccc2)c3ccc4c(nc(nc4n3)N)N,-8.48,32.7633445400936,2.23508672202657,12,0,0,no
HC6,C[N+]1(CCO[C@](C1)(c2ccc(cc2)c3ccc(cc3)[C@]4(C[N+](CCO4)(C)C)O)O)C,-8.16,29.852727707628,1.28884711648721,4,0,0,no
LK8,Cc1cc(c2cccc(c2n1)OCc3c(ccc(c3Cl)C(=O)N4CCC[C@H]4C(=O)NC)Cl)C(F)(F)F,-8.39,32.4006458712482,6.70374790738558,6,0,0,2088
O5F,C[C@@H](c1ccc2ccccc2c1)NC(=O)c3cccc4c3n(c(n4)c5cncc6c5cccc6)CCCC(=O)NC,-8.88,33.501789841233,5.54974047433315,12,0,0,no
NM4,COc1cc(c(cc1c2cn3ccc(cc3n2)N4CC[C@@H](C4)NCc5ccncc5)Cl)OC,-7.25,8.33017445116275,5.70403891470351,5,0.4,0,no
EMW,Cc1cc(ccc1NC(=O)N2CCN([C@H](C2)C)c3c4cnn(c4nc(n3)N)C)OC,-7.18,6.0753980450496,0.452931599635443,4,0.2,0.2,1981
Z77,Cc1cc2c(cc1C)NC(=O)C(=C2)CN(CCO)C(=S)Nc3cccc(c3)OC,-7.05,4.46902367527065,6.30241042766675,10,0.2,0.2,no
D01,c1cc2c(cc(s2)C(=O)N3CCN(CC3)S(=O)(=O)c4cc5cc(ccc5[nH]4)Cl)[n+](c1)[O-],-8.01,27.6292281389914,2.38418579101562e-07,1,0,0,1850
C4D,CC(=CCC/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(C)C)/C)/C)C,-7.01,4.18623005711996,3.14190219078358,9,0.2,0.2,no
43K,c1cc(c(nc1)F)c2ccc3c(c2)[C@@]4(COC(=N4)N)c5cc(ncc5O3)c6ccnc(c6)F,-8.37,32.4008093098484,7.05361863839649,2,0,0,no
NL9,B(c1cnn(c1)c2cccc(c2)Cl)(O)O,-7.1,0.877954577947656,8.71542347125462,2,0,0,2536
7A4,CC\1=C(c2cc(ccc2/C1=C\c3ccc(cc3)C(C)C)F)CC(=O)O,-8.02,28.037693627203,2.84469293948062,9,0,0,no
OKC,c1cc(c(c(c1)S(=O)(=O)N)c2[nH]nnn2)c3ccc(cc3)C4CCNCC4,-7.94,21.4443602077313,7.05344450948964,2,0,0,no
X9J,CC(C)(C)c1nc(on1)C(=O)NCc2ccc(cc2F)c3ccnc4c3[nH]c(n4)c5cnn(c5)C,-8.59,33.128415206912,0.953122820142563,12,0,0,1977
A1AO3,Cc1ccc2c(c1)c(c(s2)[C@H](c3ccccc3)C4=C([C@](C4=O)(C)c5ccccc5)O)C,-8.7,33.3827400572741,3.63817510134797,4,0,0,2100
I2W,c1cc(cc(c1)Cl)N2CCN(CC2)C(=O)CSc3nc[nH]n3,-7.09,0.707313315074953,1.43760521618984,5,0,0,no
CMI,[H]/N=C(\c1cccc(c1)Cn2c3cccc(c3cc2C(=O)NCc4cc(cc(c4)C)C)C)/N,-8.72,33.4469691735906,7.20621726973497,6,0,0,no
E7M,Cc1ccc(cc1C#Cc2cnc3n2nccc3)C(=O)Nc4ccc(c(c4)C(F)(F)F)CNCCN5CCOCC5,-7.97,27.2854572263503,4.54660071339094,10,0,0,no
GA9,c1cc2c(ccc3c2c(c1)C(OC3=O)(c4ccc(c(c4)Br)O)c5ccc(c(c5)Br)O)Cl,-8.16,30.4039670460274,8.70477745013716,2,0,0,no
07H,c1ccc2c(c1)C=C(CO2)CN3CCN(CC3)C(=O)c4cccc(c4)c5ccn[nH]5,-7.95,26.8815505443476,2.43992149951693,3,0,0,no
UYS,CN(C)c1c(nc(c(n1)N)C(=O)N=C(N)N)C#Cc2ccccc2,-7.16,3.57665515612989,1.05498202536712,6,0.2,0,2528
326,Cc1cc(ccc1n2c(c(c(n2)C)/N=N/c3cc(ccc3C(=O)O)S(=O)(=O)O)O)S(=O)(=O)O,-8,28.0942030096824,0.471378527630231,4,0,0,1880
A1ITD,CC=C/C=C/C(=O)c1cc(c(c(c1O)C)O)C,-7.46,5.60876214085887,0.0561341192835934,5,0,0.2,no
6V3,CN1CCN(CC1)c2cccc3c2ccc(c3)NC(=O)Nc4ccc(cc4)Oc5ccnc6c5cc[nH]6,-8.07,29.1679481128743,2.69517369218776,4,0,0,no
